what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1368216193780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1368216208776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368216217222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368216965999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368216975708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218036681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218075488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218084930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218086145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218187392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218199434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218200634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218202870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218203695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218208163
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1368218209864
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368218209982
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1368218210901
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1368218210902
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1368218210903
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1368218211904
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1368218211904
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1368218211904
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1368218211904
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1368218211904
