what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367813598175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367813602502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367813614536
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367813617366
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 5-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367813618321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367813622071
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367813651474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367814312603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367814313835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367814319332
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367814322432
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 5-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367814323379
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367814356627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367814423012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367814423083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367814425956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367814841634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367814844600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367814859091
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367814861979
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 5-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367814862930
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367814895903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367815037842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367819049811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367819051146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367819054011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367819398522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367822312064
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367822315077
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 5-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367822316031
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367822349278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367822479952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367823586956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367823588386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367823604130
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1367823605259
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367823608039
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 5-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367823608988
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367823642278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367824195770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367826466533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367826467808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367831130969
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367831133902
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 5-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367831134851
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367831167929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367831223954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367831224038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367831225097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367832710605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367832712389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367832723907
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367832726918
