what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1368179518912
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1368179518912
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1368179518914
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1368179518914
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1368179518915
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1368179518915
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1368179518916
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1368179518916
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1368179518917
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1368179518918
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1368179518918
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1368179518919
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1368179518919
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1368179518920
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1368179518920
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1368179518921
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1368179518921
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1368179518921
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1368179518922
os,sysinfo,,,"linux",1368179518925
arch,sysinfo,,,"x86",1368179518925
ws,sysinfo,,,"gtk",1368179518925
locale,sysinfo,,,"en_US",1368179518925
processors,sysinfo,,,"2",1368179518925
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368179518925
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1368179518925
java.specification.name,sysinfo,,,"Java Platform API Specification",1368179518925
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368179518925
java.specification.version,sysinfo,,,"1.6",1368179518925
