what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1367898730064
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367898732229
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1367898732963
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1367898733021
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1367898733030
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1367898733030
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1367898733031
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1367898733043
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367898733101
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 5-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367898734003
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 5-1]', --device=1, --instance=1, --go, --accept-bad-sysid, /home/user2/spring13/ag3287/CUDoom/software/CUDoom/CUDoom.elf] return code: 8",1367898735857
error,log,,,"Downloading ELF Process failed",1367898735863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367898735939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367898739914
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1367898757069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367898757254
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1367898770089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367898770108
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367898771979
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367898772617
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367898773579
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367898790868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899100894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899848650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367899930328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367901414065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367901415854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367904614361
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1367904614397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367904732226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367904734422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1367904780070
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367904787509
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367904788169
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367904789124
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367904801931
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1367904901664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1367904904676
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367904910128
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1367904910810
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 10-1]', --device=1, --instance=1, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1367904911765
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1367904924653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367905490684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367908811671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367908812952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367908966106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367908966935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367908968539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367909006489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367909016128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367909019600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367909041231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367909041256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367923089888
